店家名,店家名(英),地區,縣市,地址,緯度,經度,營業時間(起),營業時間(迄),交通建議,連結
亞伯斯科技潛水有限公司,,北部地區,新竹縣,303新竹縣湖口鄉榮光一路198號,24.86371537,120.9951844,,,,
新竹潛水蟲 EOT 潛水訓練中心,,北部地區,新竹縣,304新竹縣新豐鄉仁愛街55巷25號,24.87592302,120.9911945,,,,
亞潮潛水中心,,北部地區,台北市,116台北市文山區興隆路一段235號,24.99944394,121.5439311,,,,
台灣潛水Taipei,,北部地區,台北市,220新北市板橋區縣民大道三段187巷14號,25.02506832,121.4791958,,,,
海洋芒果潛水裝備專賣店 大安店,,北部地區,台北市,10664台北市大安區復興南路二段148巷12號,25.02843153,121.5426961,,,,
Ladiyo Store 自由潛水裝備店,,北部地區,台北市,106台北市大安區忠孝東路四段216巷29號G4,25.03969416,121.5530052,,,,
Water Pro 台北總店,,北部地區,台北市,106台北市大安區忠孝東路四段181巷35弄7號,25.04400044,121.551129,,,,
muii x 男子漢的浪 台北夏季直營店,,北部地區,台北市,10491台北市中山區松江路97巷16號2F,25.05080848,121.5343231,,,,
WATER CROSS 水越企業,,北部地區,台北市,104台北市中山區南京東路二段21巷15號,25.05275271,121.5288701,,,,
Water Pro 南西店,,北部地區,台北市,10444台北市中山區南京西路15號四樓新光三越南西三館4樓,25.05273461,121.5206254,,,,
High Bar Scuba 海8潛水中心,,北部地區,台北市,10491台北市中山區中山北路二段183之6號,25.0636176,121.5229182,,,,
台北樂潛 潛水中心,,北部地區,台北市,104台北市中山區農安街125巷2號,25.06518822,121.5297166,,,,
海世界貿易有限公司,,北部地區,台北市,10491台北市中山區德惠街89號,25.06670945,121.5287038,,,,
鬥陣潛水,,北部地區,台北市,115台北市南港區玉成街40號,25.04873548,121.5812973,,,,
藍色海,,北部地區,台北市,115台北市南港區玉成街40號,25.04875761,121.5813932,,,,
潛水貨倉,,北部地區,台北市,115台北市南港區八德路四段768巷1弄20號B1,25.05029002,121.5814322,,,,
Aropec潛水衝浪溯溪游泳三鐵戶外運動(台北店),,北部地區,台北市,115台北市南港區忠孝東路六段390號,25.04982275,121.5922813,,,,
Scuba Warehouse Taiwan 專業潛水裝備店,,北部地區,台北市,11469台北市內湖區行善路168巷,25.05887184,121.5787776,,,,
SSO SPORTS潛水滑雪裝備店,,北部地區,台北市,114台北市內湖區行忠路6號1樓,25.0650604,121.5773558,,,,
iDiving 愛潛水,,北部地區,台北市,111台北市士林區前港街8號,25.08472451,121.5229722,,,,
海人選品,,北部地區,台北市,111台北市士林區中山北路七段140巷4號1樓,25.1229824,121.5324711,,,,
越琳浮潛泳具品,,北部地區,新北市,237新北市三峽區成福路162號,24.92808123,121.4241382,,,,
IDiver海怪水下－潛水概念店(自由潛水專賣店),,北部地區,新北市,236新北市土城區慶利街3號,24.97350161,121.4398252,,,,
