店家名,地區,地址,緯度,經度,連結
台灣潛水 綠島店 Green Island Dive,綠島鄉,951台東縣綠島鄉一零三之一號,22.67693404,121.4873417,
浪漫潛水,綠島鄉,95142台東縣綠島鄉951柴口168號,22.67747477,121.4853451,
綠島海角樂園水上活動中心,綠島鄉,"綠島鄉南寮村39號, Taitung, Taiwan ",22.66577849,121.4711462,
"Oceanian 綠島自由潛水背包客棧 Green island,Taiwan",綠島鄉,951台東縣綠島鄉柴口79-1 ,22.67705622,121.4862066,
潛。無極 Moji Dive,綠島鄉,台灣台東縣綠島鄉南寮漁港綠島50號,22.66487039,121.4713626,
島潛。Islands Dive,綠島鄉,951台東縣綠島鄉南寮漁港15-6號,22.66216209,121.4734537,
聯慶愛潛水 Green Island Scuba Diving,綠島鄉,951台東縣綠島鄉漁港 路2-6 號,22.65769772,121.4753426,
私家潛水旅宿,綠島鄉,951台東縣綠島鄉公館村公館村柴口26-2號,22.67402253,121.4783265,
綠島極光潛水,綠島鄉,951台東縣綠島鄉39號,22.67443586,121.479176,
愛潛客潛水社,綠島鄉,951台東縣綠島鄉227-1號,22.67421072,121.4744721,
海子?Ocean Rover 綠島潛水旅宿,綠島鄉,951台東縣綠島鄉柴口105-1號,22.67685576,121.4875775,
海洋之星潛水俱樂部,綠島鄉,951台東縣綠島鄉18-1號,22.66536167,121.4716207,
綠島潛水出租店,綠島鄉,951台東縣綠島鄉漁港26號之1號,22.66339712,121.4726111,
綠島飛魚潛水,綠島鄉,951台東縣綠島鄉?港路1-2號,22.65780014,121.4755933,
Goods dive,綠島鄉,951台東縣綠島鄉52之51,22.67112564,121.4731656,
水青潛水旅宿,綠島鄉,951台東縣綠島鄉漁港16-2號,22.66256666,121.4734194,
Diving.come,綠島鄉,951台東縣綠島鄉漁港1-60號,22.65512605,121.4750758,
夏潛趣潛水中心,綠島鄉,951台東縣綠島鄉中寮35-1號,22.6743342,121.4702112,
安全停留潛水中心,綠島鄉,951台東縣綠島鄉環島公路15-3號,22.65955399,121.4753885,
綠島-潛很大 Dive La Vie,綠島鄉,"台東縣綠島鄉中寮村, Taitung, Taiwan",22.67279072,121.4717638,
綠島 樂潛殿,綠島鄉,951台東縣綠島鄉漁港2之7號,22.65721508,121.4752099,
五米的藍潛水工作室,綠島鄉,951台東縣綠島鄉柴口170-2號,22.677346,121.4861092,
綠島野蠻紮實潛水社,綠島鄉,951303台東縣綠島鄉公?1之10號,22.67683566,121.4892855,
綠島-飛航模室潛水旅宿 Green lsland Airplane mode Hostel,綠島鄉,951台東縣綠島鄉南寮205-1號,22.67152587,121.4675795,
綠島 海遇潛水,綠島鄉,951台東縣綠島鄉221號,22.6742334,121.4746542,
勝宏浮潛,綠島鄉,951台東縣綠島鄉漁港7號,22.66086106,121.4746683,
Hao想潛水,綠島鄉,951台東縣綠島鄉188～3號,22.67723646,121.4888554,
Koh ocean · 嶼海 綠島自由潛水旅宿,綠島鄉,951台東縣綠島鄉16號,22.67561686,121.4903798,
綠島海灣會館,綠島鄉,951台東縣綠島鄉漁港路10之5號,22.66106982,121.4744906,
洄遊潛水Migration Diving,綠島鄉,951台東縣綠島鄉環島公路,22.6475076,121.49881,
綠島微風潛水度假中心,綠島鄉,台東縣綠島南寮村漁港1-58號號,22.6553435,121.4752009,
佈拉咖潛旅,綠島鄉,951台東縣綠島鄉中寮54-3號,22.6732155,121.4732324,
綠島玉米-潛水住宿Diveholix Homestay,綠島鄉,951台東縣綠島鄉南寮17號,22.6652242,121.4715971,
海島旅人 Diving Hostel ,綠島鄉,951台東縣綠島鄉漁港路11號,22.66125749,121.4743447,
綠島快樂潛水民宿,綠島鄉,95141台東縣綠島鄉南寮村一鄰南寮19號,22.66496176,121.471285,
月光城堡潛水中心(Mooncastle Dive Center),綠島鄉,951台東縣綠島鄉漁港121號,22.65648565,121.4752591,
過日子民宿&綠島阿禧潛水俱樂部,綠島鄉,951台東縣綠島鄉柴口55-1號,22.67466231,121.4805882,
CoolDiving Hostel｜背包輕旅｜潛水課程｜活動行程｜,綠島鄉,951台東縣綠島鄉中寮52-2號,22.6730017,121.472694,
海街日記-OCEAN DIARY 綠島潛水旅宿,綠島鄉,951台東縣綠島鄉公館50號,22.67537265,121.4909621,
植海的人 Seed of the Ocean,綠島鄉,95142台東縣綠島鄉,22.6754061,121.4905545,
藏水綠島館Hide and Sea,綠島鄉,951台東縣綠島鄉南寮漁港2-9號,22.6569551,121.4755155,
戀戀火燒島,綠島鄉,95142台東縣綠島鄉南寮1-80號,22.65413323,121.4749565,
走走 zou l zou,綠島鄉,951台東縣綠島鄉中寮55號,22.6743172,121.4709618,
海人生 C'est la vie 綠島海景民宿,綠島鄉,951台東縣綠島鄉柴口33號,22.67461543,121.4792236,
水面休息潛水員旅宿,綠島鄉,95141台東縣綠島鄉三鄰3-1號,22.67617812,121.4902052,
炫富·綠島 租車x潛水x套裝旅遊行程,綠島鄉,951台東縣綠島鄉漁港116號,22.65675008,121.4755061,
柒七潛水旅店,綠島鄉,951台東縣綠島鄉121號,22.67533601,121.4702286,
島人嶼海,綠島鄉,951台東縣綠島鄉 2 鄰 113 號,22.67673505,121.4884079,
綠島9號精品渡假村,綠島鄉,951台東縣綠島鄉漁港 3-1 號,22.65958311,121.4760671,
高氧旅宿,綠島鄉,951台東縣綠島鄉南寮142號,22.66733835,121.4696905,
愛上綠島民宿,綠島鄉,951台東縣綠島鄉漁港路39號,22.6643869,121.471821,
綠島居福潛水,綠島鄉,951台東縣綠島鄉78-3號,22.67499387,121.492551,
綠島海猴子潛水Green Island Sea Monkey Diving,綠島鄉,951台東縣綠島鄉51號,22.67510906,121.4917912,
綠島啤 酒魚潛水中心,綠島鄉,951台東縣綠島鄉公館99號,22.6739701,121.4926692,
綠島海韻民宿(安欣立潛水中心happyminimi divecenter) |自由潛水 |水肺潛水|,綠島鄉,951台東縣綠島鄉210號,22.66997022,121.4682604,
BLUE SAFARI DIVING CENTER 藍莎潛水中心（PADI五星級教練發展潛水中心）,綠島鄉,951台東縣綠島鄉72號,22.6749033,121.4917939,
綠島怪獸潛水,綠島鄉,951台東縣綠島鄉溫泉66號,22.64567481,121.4983325,
夏咖SHAKA D.C.潛水中心 Shaka.Aloha（SSI潛水中心）,綠島鄉,951台東縣綠島鄉公?路82號,22.67455506,121.4920394,
綠島涵館TUBE18,綠島鄉,951台東縣綠島鄉南寮村龜灣32-1號,22.64711862,121.4760167,
綠棕海租車浮潛社,綠島鄉,951台東縣綠島鄉漁港路15-3號,22.66203235,121.4733911,
綠島諾亞民宿,綠島鄉,台東縣綠島鄉柴口50之6號　,22.67447076,121.4802856,
