店家名,地區,地址,緯度,經度,連結
稻荷潛水中心InariDive,澎湖縣,880澎湖縣馬公市160號,23.52625804,119.5679892,
波賽頓海洋運動俱樂部 Poseidon Water Sports Club,澎湖縣,880澎湖縣馬公市52號之7 1樓,23.52302629,119.5719762,
陽光阿有,澎湖縣,880澎湖縣馬公市號,23.51819917,119.5928233,
海洋途徑潛水,澎湖縣,880澎湖縣馬公市No170 Jimuwu,23.52537828,119.5927095,
海獺潛水,澎湖縣,880澎湖縣馬公市鎖港里1933號,23.52428081,119.5963257,
波賽頓山水店（水肺潛水/浮潛）,澎湖縣,880澎湖縣馬公市鎖港里1962號1樓,23.52360952,119.5968405,
日日潛水,澎湖縣,880澎湖縣馬公市68-2號,23.53445205,119.6023905,
PADI澎湖興仁潛水訓練中心(有些活動有含住宿),澎湖縣,88053澎湖縣馬公市烏崁里128號之25,23.5480137,119.6177301,
喬米潛水 薰衣草海底郵筒浮潛 體驗潛水,澎湖縣,885澎湖縣湖西鄉隘門村16-10號88593,23.56440842,119.6351461,
澎湖潛水會,澎湖縣,880澎湖縣馬公市漁隆路7-1號,23.56555732,119.568845,
琉浪潛水背包客棧Drift Diving Hostel,琉球鄉,929屏東縣琉球鄉忠孝路一巷2-6號,22.32495307,120.3644877,
天天潛水,琉球鄉,929屏東縣琉球鄉環島公路,22.32864706,120.3545638,
奧之海潛水旅宿 Odyssey Divers Hostel,琉球鄉,929屏東縣琉球鄉中正路57號,22.32786016,120.3576314,
AIRTIME Diving 潛水工作室,琉球鄉,929屏東縣琉球鄉信義路11-1號貨櫃屋,22.32873843,120.357576,
洋Free diving-高雄自由潛水 / 小琉球 / 墾丁,琉球鄉,929屏東縣琉球鄉信義路11-1號,22.32872168,120.3576129,
琉影潛水,琉球鄉,929屏東縣琉球鄉中正路1巷90-2號,22.33049756,120.3586706,
Shengdiving,琉球鄉,92942屏東縣琉球鄉忠孝路108號,22.32907576,120.3639312,
鬥陣潛水小琉球分部,琉球鄉,929屏東縣琉球鄉忠孝路120之8號,22.32930899,120.3641583,
SaltyMind Freediving 鹹腦袋自由潛水,琉球鄉,929屏東縣琉球鄉中正路137號,22.33111529,120.3627512,
小琉球悠遊潛水,琉球鄉,929屏東縣琉球鄉中興路1之8號,22.33312559,120.3628047,
Free4Ocean 自由潛水,琉球鄉,92942屏東縣琉球鄉和平路1巷9號,22.33354386,120.3724048,
VD自由潛水【小琉球教室】| VD Freediving Taiwan,琉球鄉,屏東縣琉球鄉和平路1號2樓,22.33393083,120.3725755,
co_diving 自由潛水工作室,琉球鄉,929屏東縣琉球鄉和平路3巷1-5號,22.33476833,120.3718092,
酷落潛水 Kuroshio Diving,琉球鄉,929屏東縣琉球鄉和平路13-3號,22.3352976,120.3714012,
小琉球-小綠龜潛水,琉球鄉,929屏東縣琉球鄉和平路32-5號,22.33596029,120.3713078,
EXTD diving center 延伸潛水,琉球鄉,929屏東縣琉球鄉中興路33-360號,22.33752494,120.3673792,
蜂潛水海洋俱樂部潛水中心,琉球鄉,92942屏東縣琉球鄉中興路33-39號,22.33765313,120.3672215,
快樂小魚潛水教學中心,琉球鄉,929屏東縣琉球鄉復興路七號,22.33954055,120.3630489,
哈尼潛水 Hot Diving,琉球鄉,929屏東縣琉球鄉杉板路53巷16之1號,22.34064785,120.3662194,
瘋潛雪 Fun Dive Ski,琉球鄉,929屏東縣琉球鄉杉板路30-1號,22.34070967,120.3655891,
heyheyDive,琉球鄉,929屏東縣琉球鄉上福村杉板路30號之1,22.34130836,120.3652691,
白牌自由潛水中心,琉球鄉,929屏東縣琉球鄉肚仔坪路15之2號,22.34277216,120.363438,
小琉球369浮潛店,琉球鄉,929屏東縣琉球鄉上杉路1巷80號92942,22.33977502,120.3693908,
啾開心浮潛,琉球鄉,929屏東縣琉球鄉上杉路1巷3號,22.34041758,120.3696432,
Dive Buddy 自由潛水工作室&背包客棧,琉球鄉,929屏東縣琉球鄉中正路188之6號,22.34054099,120.371368,
流星潛水中心,琉球鄉,929屏東縣琉球鄉上杉路18之15號,22.34138674,120.3691835,
小琉球潛吧潛水DIVE BAR,琉球鄉,929屏東縣琉球鄉上杉路31巷2號,22.34196036,120.3687336,
潛境自由潛水,琉球鄉,929001屏東縣琉球鄉中華路2-2號,22.34231959,120.3693887,
島氮潛水社 Playful Dive Club,琉球鄉,929屏東縣琉球鄉中華路21-11號,22.34333912,120.369738,
小琉球 小丑魚浮潛,琉球鄉,929屏東縣琉球鄉中山路925號,22.3424077,120.3728204,
DEEPSOUL,琉球鄉,929屏東縣琉球鄉三民路1之56號,22.34189712,120.3845845,
蹼客基地,琉球鄉,929屏東縣琉球鄉三民路39-1號前方,22.34502459,120.3863856,
阿貴潛水中心,琉球鄉,929屏東縣琉球鄉環島公路40-1號,22.3461279,120.3883345,
Freedive Nomad Taiwan,琉球鄉,929屏東縣琉球鄉行政路20-12號,22.34782933,120.3823451,
O2潛水俱樂部,琉球鄉,929屏東縣琉球鄉三民路151之9號,22.3472335,120.3850874,
萊這哩浮潛,琉球鄉,929屏東縣琉球鄉本漁路81巷22之1號,22.34797586,120.385173,
琉潛貨櫃潛水旅宿 Liuqiu Dive,琉球鄉,929屏東縣琉球鄉本漁路81巷20之2號,22.34799012,120.3852213,
小琉球潛水阿貴民宿 包棟住宿 / 潛水體驗 / 旅遊,琉球鄉,929屏東縣琉球鄉三民路58號,22.34808492,120.3881465,
海之家潛水店,琉球鄉,929屏東縣琉球鄉本漁路48之6號,22.34825205,120.3862701,
舶琉潛水浮潛/體驗潛水/海底漫步/SUP立槳/ 獨木舟/遊艇包船,琉球鄉,929屏東縣琉球鄉觀光港路80之10號,22.35108855,120.3855772,
大眾浮潛,琉球鄉,929屏東縣琉球鄉三民路277號,22.35237684,120.3828201,
Om Space 平行時空 ,琉球鄉,929屏東縣琉球鄉三民路243之4號,22.35188466,120.3833945,
小琉球潛水-潛雪SnowDiving,琉球鄉,929屏東縣琉球鄉三民路224之1號,22.3519139,120.3835342,
小琉球-琉球夯浮潛,琉球鄉,"1-13 民族路, 琉球鄉屏東縣929",22.35263441,120.3836087,
布雷克潛水,琉球鄉,929屏東縣琉球鄉復興路一巷14號,22.34604581,120.3678375,
阿Ya潛棧 A Ya Diving Hostel,琉球鄉,929屏東縣琉球鄉復興路99號,22.34670329,120.3689004,
波賽頓海洋運動俱樂部 - Poseidon Water Sports Club,琉球鄉,929屏東縣琉球鄉中華路118-1號,22.34545433,120.3728493,
老婆潛水工作室,琉球鄉,929屏東縣琉球鄉相埔路18之3號,22.34561647,120.3749307,
小琉球陽光浮潛,琉球鄉,929屏東縣琉球鄉中山路43-20號,22.34650388,120.376614,
秘密客潛水旅宿,琉球鄉,929屏東縣琉球鄉相埔路50號之3,22.34662052,120.3738511,
派大星潛水／浮潛,琉球鄉,929屏東縣琉球鄉相埔路52 之 1 號,22.34685853,120.3734154,
水啦潛水教練發展中心,琉球鄉,929屏東縣琉球鄉相埔路92966號附近,22.34690773,120.3729049,
流星打氣站,琉球鄉,929屏東縣琉球鄉相埔路79號之9號,22.34686494,120.3715676,
小琉球潛水-水藍攝潛水 Water blue diving,琉球鄉,929屏東縣琉球鄉相埔路88號之8,22.34717553,120.371665,
熊潛水培訓中心,琉球鄉,929屏東縣琉球鄉相埔路87號,22.34702907,120.3712214,
海世界浮潛,琉球鄉,929屏東縣琉球鄉上杉路101之5號,22.34516417,120.3661274,
小琉球 愛潛水,琉球鄉,929屏東縣琉球鄉復興路161之99號,22.35089909,120.3752176,
